1:ItNr	2:Metric	2:Metric0	2:Metric1	2:Metric2	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient2||	4:||Gradient||	Time0[ms]	Time1[ms]	Time2[ms]	Time[ms]
331	-1.057170	-0.585258	-0.471924	0.000013	4.883627	649.543177	0.001056	0.002689	0.000000	0.003327	1.2	1.8	1.5	6.3
332	-1.110766	-0.614448	-0.496330	0.000012	4.100436	669.810400	0.001326	0.002461	0.000000	0.003175	1.4	2.0	1.4	7.9
333	-1.052913	-0.551560	-0.501366	0.000012	5.094653	644.290349	0.001455	0.002316	0.000000	0.002715	1.1	1.9	1.2	8.0
334	-1.070111	-0.574440	-0.495684	0.000012	4.304258	664.415190	0.001409	0.002290	0.000000	0.002666	1.1	2.0	1.3	8.3
335	-1.043959	-0.576748	-0.467224	0.000013	3.516854	685.754121	0.001454	0.002214	0.000000	0.002831	1.1	1.7	1.2	5.8
336	-1.036945	-0.544143	-0.492815	0.000012	2.723308	708.692615	0.001414	0.002386	0.000000	0.002761	1.1	1.8	1.1	5.8
337	-1.104374	-0.601269	-0.503118	0.000013	1.934581	733.064765	0.001315	0.003002	0.000000	0.003473	1.1	1.9	1.1	5.9
338	-1.041991	-0.583372	-0.458632	0.000013	2.934581	702.436915	0.001299	0.002086	0.000000	0.003014	1.2	1.8	1.6	8.3
339	-1.095127	-0.595243	-0.499897	0.000012	2.140926	726.528124	0.001211	0.002177	0.000000	0.002674	1.2	1.8	1.4	6.3
340	-1.070002	-0.582484	-0.487531	0.000013	2.501317	715.386858	0.001266	0.002549	0.000000	0.003412	1.2	2.0	1.4	10.7
341	-1.058346	-0.566969	-0.491390	0.000013	1.722097	739.919960	0.001307	0.001983	0.000000	0.002560	1.2	2.0	1.4	7.9
342	-1.041390	-0.558878	-0.482525	0.000013	1.821748	736.689101	0.001191	0.002879	0.000000	0.003413	1.2	1.7	1.2	6.1
343	-1.039008	-0.549709	-0.489312	0.000012	2.777400	707.080381	0.001283	0.002018	0.000000	0.002702	1.2	1.9	1.4	8.0
344	-1.015486	-0.532819	-0.482680	0.000013	3.755404	679.145980	0.001155	0.002088	0.000000	0.002584	1.1	1.9	1.5	6.3
345	-1.093994	-0.616608	-0.477400	0.000013	2.980185	701.101083	0.001275	0.001894	0.000000	0.002699	1.2	1.9	1.2	7.4
346	-1.062959	-0.578095	-0.484876	0.000013	2.192000	724.928146	0.001264	0.002015	0.000000	0.002648	1.1	1.8	1.3	7.9
347	-1.050314	-0.571875	-0.478452	0.000013	1.470589	748.201711	0.001287	0.002642	0.000000	0.003324	1.2	1.7	1.2	7.9
348	-1.072940	-0.576600	-0.496354	0.000013	0.685354	775.294408	0.001122	0.002160	0.000000	0.002631	1.1	1.9	1.4	6.2
349	-1.023046	-0.561263	-0.461796	0.000013	0.319889	788.584462	0.001419	0.002093	0.000000	0.002736	1.1	3.3	1.2	9.4
350	-1.012309	-0.567181	-0.445141	0.000012	0.855430	769.261161	0.001425	0.003118	0.000000	0.003831	1.7	1.9	1.4	9.3
351	-1.156609	-0.626194	-0.530428	0.000013	1.854331	735.638830	0.001676	0.004491	0.000000	0.004314	1.4	2.0	1.3	6.8
352	-1.084758	-0.602628	-0.482144	0.000013	2.854331	704.800034	0.001346	0.002890	0.000000	0.003572	1.2	1.7	1.1	6.0
353	-1.097066	-0.604372	-0.492707	0.000013	3.514301	685.825522	0.001526	0.002847	0.000000	0.003105	1.1	1.8	1.3	6.1
354	-1.014528	-0.553765	-0.460776	0.000014	2.759665	707.608196	0.001282	0.002501	0.000000	0.002755	1.3	1.8	1.5	8.6
